mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
311012100,54.05512,6.894883,0.0,333.2,511.0,-731.3865,5,1780317007,MSSIS,0,JB 115,8770730,C6XK2,0.0,0.0,0.0,NC200,99,1900-01-01 00:00:00
235065153,49.372272,-2.480955,102.3,360.0,139.0,0.0,15,1780317003,MSSIS,0,,0,2BDJ8,0.0,0.0,0.0,,30,1900-01-01 00:00:00
338185756,33.716,-118.06271,0.0,246.7,511.0,0.0,15,1780317003,MSSIS,0,,0,,0.0,0.0,0.0,,30,1900-01-01 00:00:00
338060554,32.70673,-117.1654,0.0,360.0,511.0,0.0,15,1780317003,MSSIS,0,,0,,0.0,0.0,0.0,,37,1900-01-01 00:00:00
257265320,69.6565,18.967554,0.0,192.4,511.0,0.0,15,1780317003,MSSIS,0,,0,LJBR,0.0,0.0,0.0,,30,1900-01-01 00:00:00
228099780,43.422947,6.765723,0.0,360.0,273.0,0.0,15,1780317003,MSSIS,0,,0,FAJ4359,0.0,0.0,0.0,,36,1900-01-01 00:00:00
227810910,43.155914,5.744497,0.0,360.0,511.0,0.0,15,1780317003,MSSIS,0,,0,FAE7718,0.0,0.0,0.0,,37,1900-01-01 00:00:00
219029112,55.963818,11.846026,0.0,360.0,7.0,0.0,15,1780317003,MSSIS,0,,0,XPH7594,0.0,0.0,0.0,,36,1900-01-01 00:00:00
338396106,47.6788,-122.409744,0.0,360.0,511.0,0.0,15,1780317003,MSSIS,0,,0,,0.0,0.0,0.0,,36,1900-01-01 00:00:00
367770350,30.175175,-89.689,5.4,245.5,511.0,0.0,15,1780317003,MSSIS,0,,0,WDN5941,0.0,0.0,0.0,,36,1900-01-01 00:00:00
261011540,54.796555,18.417276,0.0,48.7,511.0,-731.3865,5,1780317003,MSSIS,0,WLA182,0,SPG2533,0.0,0.0,3.0,,30,1900-01-01 00:00:00
338100944,41.943684,-87.63746,0.0,360.0,511.0,0.0,15,1780317003,MSSIS,0,ETERNALLY GRATEFUL,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
366977290,29.869112,-81.008,5.9,327.7,511.0,0.0,15,1780317003,MSSIS,0,,0,WDB9498,0.0,0.0,0.0,,0,1900-01-01 00:00:00
258992480,59.22203,10.462655,0.0,159.9,321.0,0.0,0,1780317003,MSSIS,0,SJOBAKK,0,LEWA,0.0,0.0,2.5,FJAERHOLMEN,30,1900-01-01 00:00:00
211682480,53.423943,14.57552,0.0,360.0,511.0,-731.3865,0,1780317003,MSSIS,0,BIZONO151,0,DH8610,0.0,0.0,0.0,RDERODRF,0,1900-01-01 00:00:00
259345000,60.93313,4.848173,0.0,60.4,251.0,0.0,0,1780317003,MSSIS,0,FIRDA FIGHTER,9816397,LEMV,0.0,0.0,0.0,FISH FARMS  CH 16,90,1900-01-01 00:00:00
246278000,57.471355,11.51558,13.7,321.9,318.0,0.0,0,1780317003,MSSIS,0,BORE WAVE,9892896,PEVW,0.0,0.0,6.4,NLAMS VIA NOK,79,1900-01-01 00:00:00
