mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigation_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
356653000,8.970035,-79.57912,9.6,323.7,511.0,-731.3865,0,2026-06-02 11:59:57.000000,MSSIS,False,CALOVEBORA,0,TUGCA,0.0,0.0,0.0,,52,none
574962000,8.489455,124.66588,0.0,151.7,511.0,-731.3865,5,2026-06-02 11:59:57.000000,MSSIS,False,TAN AN ADVANCE,9561978,XVIS,0.0,0.0,7.4,PHCDO,70,none
256002329,37.886215,23.692783,10.1,341.0,338.0,0.0,0,2026-06-02 11:59:58.000000,MSSIS,False,LADY BAHI,0,9HB8476,0.0,0.0,3.0,H,37,none
248176000,39.56175,2.6277983,0.0,360.0,511.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,GLOBITO DE MAR,0,,0.0,0.0,0.0,,0,none
503568000,-20.662376,116.68558,0.0,302.8,233.0,0.0,0,2026-06-02 11:59:57.000000,MSSIS,False,PILBARA THOR,9455612,VNW6081,0.0,0.0,5.6,DAMPIER AUS,52,none
244650874,51.94207,4.03434,5.9,163.2,511.0,-731.3865,0,2026-06-02 11:59:58.000000,MSSIS,False,MAREA,0,PB4297,0.0,0.0,1.7,ROTTERDAM  NEUSS VV,79,none
265749770,59.119606,18.30425,0.0,27.8,511.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,,0,SKCT,0.0,0.0,0.0,,37,none
266468000,57.678867,11.8051,11.6,241.0,235.0,0.0,0,2026-06-02 11:59:58.000000,MSSIS,False,NIMBUS,9410507,SBFC,0.0,0.0,5.3,NLRTM,89,none
265782210,58.527527,16.836061,0.0,0.0,511.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,ALBA,0,,0.0,0.0,0.0,,0,none
235105625,51.267483,4.26289,0.0,46.9,511.0,-731.3865,15,2026-06-02 11:59:58.000000,MSSIS,False,LIAMP,0,2HPT2,0.0,0.0,0.3,BEANT,31,none
246245000,52.394165,5.150495,0.0,90.9,94.0,0.0,0,2026-06-02 11:59:58.000000,MSSIS,False,ZEELEEUW,8664319,PDIE,0.0,0.0,1.8,DEN OEVER,52,none
316050688,47.377377,-61.858753,0.0,360.0,511.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,,0,,0.0,0.0,0.0,,30,none
205507090,51.30467,3.83156,7.9,166.6,511.0,-731.3865,0,2026-06-02 11:59:58.000000,MSSIS,False,JASMIN,0,OT5070,0.0,0.0,2.2,OOSTENDE OSTEND,79,none
227017200,43.023087,3.046895,0.0,0.0,511.0,-731.3865,0,2026-06-02 11:59:58.000000,MSSIS,False,CHAMBON BORA,8402618,FHPM,0.0,0.0,3.8,TOULON,52,none
251765000,66.531586,-24.81037,4.3,201.8,201.0,-720.00323,7,2026-06-02 11:59:58.000000,MSSIS,False,THERNEY RE1,9830434,TFFW,0.0,0.0,8.0,,30,none
367469280,37.892315,-76.17367,4.1,157.6,163.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,,0,WDF5975,0.0,0.0,0.0,,36,none
245017000,56.51922,20.994467,0.0,294.1,79.0,0.0,5,2026-06-02 11:59:58.000000,MSSIS,False,EEMS TRANSPORTER,9340300,PHBC,0.0,0.0,3.4,LVLPX,79,none
