mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigation_status,updated,source,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
218037720,54.31399,8.948212,0.0,360.0,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,ADLER II,0,DLYC,0.0,0.0,1.0,TOENNINGESW,69,none
219002827,57.71746,10.58729,0.0,230.9,130.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,MIE MALENE,0,5QRJ,0.0,0.0,2.8,SKAGEN,30,none
219035355,55.674862,9.813008,0.1,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,XPI6391,0.0,0.0,0.0,,37,none
225998168,39.545086,2.3862967,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,ALBORAN ALBARINO,0,,0.0,0.0,0.0,,0,none
265638360,57.987972,11.545867,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,SIPHRA,0,,0.0,0.0,0.0,,0,none
563329800,54.97909,13.667383,10.4,251.9,252.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,KL VANCOUVER,9919541,S6UB8,0.0,0.0,11.0,NL SLU,70,none
251825110,65.59864,-24.004827,0.0,164.8,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,HIMINGLAEVA,0,,0.0,0.0,0.0,,0,none
440106450,34.79058,128.4291,0.0,121.3,121.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,TAMGU17,0,302TAMG,0.0,0.0,1.0,,55,none
265810810,58.59606,11.277545,0.0,360.0,511.0,-731.3865,15,2026-06-04 13:00:19.000000,MSSIS,False,RESCUE BERITH,0,7SA2853,0.0,0.0,0.0,SWEDISH SAR VESSEL,51,none
265796720,58.48847,16.942078,0.0,360.0,511.0,-731.3865,15,2026-06-04 13:00:19.000000,MSSIS,False,RESCUE INGRID SLATTO,0,7SA2824,0.0,0.0,0.0,,51,none
219017416,53.662273,14.515594,0.0,0.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,XPE4562,0.0,0.0,0.0,,36,none
219012563,57.0597,9.96602,0.0,227.5,36.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,BALDER,0,OXUK,0.0,0.0,1.7,PORT SERCIVE AALBORG,52,none
244040133,53.054855,5.3894367,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,ASHA,0,,0.0,0.0,0.0,,0,none
244711978,51.673737,4.075987,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,PA4174,0.0,0.0,0.0,,37,none
636014366,13.110765,43.123062,12.1,334.3,333.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,ELIM INSPIRE,9446403,A8TJ2,0.0,0.0,10.4,EG SUZ,70,none
368412140,33.98078,-118.45208,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,WDQ2924,0.0,0.0,0.0,,36,none
228090960,43.208946,5.536545,0.2,39.7,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,FAJ3454,0.0,0.0,0.0,,36,none
567000422,9.537539,99.928185,7.9,71.0,78.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,SEATRAN FERRY9,9100657,HSB4824,0.0,0.0,3.8,TH  SAMUIDONSAK,60,none
247381100,45.802265,13.538325,0.0,249.8,511.0,-731.3865,3,2026-06-04 13:00:19.000000,MSSIS,False,STAR,8668262,INKY2,0.0,0.0,5.4,ITMNF,52,none
548022200,14.53827,120.93768,0.0,105.4,511.0,-731.3865,1,2026-06-04 13:00:19.000000,MSSIS,False,LIANGKU 99,859129900,DUE4472,0.0,0.0,5.0,ANCHORAGE,70,none
251566110,64.68003,-13.809465,1.3,229.5,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,6044,0.0,0.0,0.0,,30,none
316033232,49.177135,-123.93976,0.1,276.2,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,SCORPIO,0.0,0.0,0.0,,37,none
257834380,59.358173,10.666262,0.0,350.9,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,LE2009,0.0,0.0,0.0,,36,none
257130870,70.670525,23.671951,0.0,358.9,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,STORELV,0,,0.0,0.0,0.0,,0,none
227804260,43.04047,6.0405617,5.0,123.6,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,,0.0,0.0,0.0,,36,none
368159650,27.791998,-82.78141,0.0,322.6,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,WDL7373,0.0,0.0,0.0,,37,none
338029727,47.64435,-122.31314,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,,0.0,0.0,0.0,,37,none
368314950,26.104347,-80.129585,0.0,62.9,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,SEA SCAPE,0,,0.0,0.0,0.0,,0,none
218021520,51.732258,3.91118,5.0,314.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,,0.0,0.0,0.0,,36,none
368309230,42.88439,-79.249756,0.1,360.0,139.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,WDN7520,0.0,0.0,0.0,,37,none
338364687,39.440857,-76.26004,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:19.000000,MSSIS,False,,0,,0.0,0.0,0.0,,37,none
567072900,13.388362,100.79887,5.2,132.1,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,TANAPA,9989144,HSB8485,0.0,0.0,3.6,,33,none
269057617,51.961548,4.0440516,0.0,360.0,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,COMUS 2,0,OT3907,0.0,0.0,0.0,HEEN EN WEER,80,none
503434200,-37.86125,144.90752,0.1,360.0,511.0,0.0,15,2026-06-04 13:00:17.000000,MSSIS,False,,0,R4689,0.0,0.0,0.0,,36,none
477191300,5.0705967,98.50894,12.7,302.5,301.0,-0.044640288,0,2026-06-04 13:00:19.000000,MSSIS,False,ORE TANGSHAN,9815202,VRRL4,0.0,0.0,12.3,SG SINBR PMA,70,none
538005177,49.963837,-2.111525,14.2,75.4,77.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,STI SOHO,9686754,V7BN8,0.0,0.0,12.1,NLAMSST LA HOUGUE,80,none
247381250,42.967278,9.544559,5.8,93.3,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,IK6742,0.0,0.0,0.0,,36,none
525200257,1.1531667,103.996956,0.0,11.6,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,MV DOLPHIN 01,9864447,YB3804,0.0,0.0,0.0,,69,none
211588170,49.647335,-1.6197183,0.0,360.0,310.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,DCYS,0.0,0.0,0.0,,37,none
232063308,38.327953,-0.40597832,3.5,72.1,91.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,MSRO4,0.0,0.0,0.0,,36,none
368027230,47.974625,-122.34921,0.0,192.3,327.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,WSF SUQUAMISH,9801782,WDJ9559,0.0,0.0,0.0,,60,none
247276100,39.943905,18.972532,1.4,157.7,69.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,ALLEGRA,9436707,IBMG,0.0,0.0,7.4,ITPFX,84,none
211507050,49.50179,8.441169,0.0,360.0,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,RHEINTANK 14,0,DA5258,0.0,0.0,0.0,MANNHEIM,99,none
368369470,48.11712,-122.75089,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,WDP6102,0.0,0.0,0.0,,37,none
265571320,57.70488,11.938976,0.0,18.8,157.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,ALV VIRA,8962929,SJAC,0.0,0.0,0.0,,60,none
311000715,31.130043,-81.49253,0.0,307.0,162.0,0.0,5,2026-06-04 13:00:19.000000,MSSIS,False,CAPETAN VASSILIS II,9580118,C6DL9,0.0,0.0,7.9,US SSI,70,none
367390740,38.95779,-74.874725,0.0,0.0,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,RV SEAWOLF,8853489,WDE7235,0.0,0.0,3.5,PORT JEFFERSON,90,none
227370000,43.39868,3.7109833,0.0,102.2,156.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,FV JLRAPHAEL 2,9104847,FGTX,0.0,0.0,4.2,SETE,30,none
211444240,54.5773,11.914873,5.0,184.9,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,DF3708,0.0,0.0,0.0,,36,none
273298410,43.332508,5.342193,0.0,360.0,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,VICTOR ANDRYUKHIN,9922110,UBIV4,0.0,0.0,3.6,MAREILLE,79,none
270754000,50.07848,14.40865,4.0,177.2,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,NAJADE,0,OL6733,0.0,0.0,0.1,H,69,none
244312797,51.899754,5.621005,9.0,267.0,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,RULICIA,0,PB6035,0.0,0.0,2.6,MOERDIJK,79,none
367059330,30.107834,-93.30016,0.1,118.0,87.0,0.0,12,2026-06-04 13:00:19.000000,MSSIS,False,REDEEMER,101174264,WDC6664,0.0,0.0,2.9,US0ERY0ZA0,57,none
232063952,36.29021,-5.272695,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,MSWD8,0.0,0.0,0.0,,36,none
219031230,54.40209,10.215502,0.3,257.8,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,TISU,0,,0.0,0.0,0.0,,0,none
235109129,50.79496,-1.11596,0.0,314.9,3.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,HARBOUR SPIRIT,974166900,2IES4,0.0,0.0,1.9,FERRY SERVICE,60,none
244750151,51.851276,5.8606815,6.6,279.9,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,DIOMEDEA,0,PD3358,0.0,0.0,0.0,MEIDERICH,99,none
232064140,49.459465,-2.5299733,0.1,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,JIBJAB,0,,0.0,0.0,0.0,,0,none
244620640,52.041065,5.11131,0.0,261.8,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,VECTOR,0,PD6043,0.0,0.0,2.5,WILHELMINAHAVEN TE S,79,none
228039800,49.069107,-5.6894517,3.1,96.5,97.0,0.0,7,2026-06-04 13:00:19.000000,MSSIS,False,FV FARFADET,8229078,FIIO,0.0,0.0,4.5,ROSCOFF,30,none
263905470,38.700592,-9.171565,0.1,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,CRA4215,0.0,0.0,0.0,,36,none
368157590,47.6282,-122.39127,0.0,259.4,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,WDL7157,0.0,0.0,0.0,,37,none
219021266,55.964016,11.845333,0.0,83.9,281.0,0.0,0,2026-06-04 13:00:19.000000,MSSIS,False,MISILIISOQ,0,OVPA,0.0,0.0,2.7,HUNDESTED,37,none
265666400,57.32602,17.004831,0.0,162.3,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,SOLFRUN,0,,0.0,0.0,0.0,,0,none
244860000,50.64657,0.608965,7.6,231.9,234.0,720.00323,0,2026-06-04 13:00:19.000000,MSSIS,False,VALERIE,9374739,PBDC,0.0,0.0,6.6,GIGIB,70,none
257127280,69.845474,22.01959,0.0,360.0,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,BLATIND,0,LF7161,0.0,0.0,0.0,,40,none
244630100,52.413326,4.842645,0.0,191.9,511.0,-731.3865,5,2026-06-04 13:00:19.000000,MSSIS,False,HOLLANDS DIEP,0,PE4563,0.0,0.0,1.6,AMSTERDAM JAN VAN RI,80,none
636092792,40.66493,-74.1449,0.0,304.0,28.0,0.0,5,2026-06-04 13:00:19.000000,MSSIS,False,CAUTIN,9687538,D5HE8,0.0,0.0,14.3,USNYC,74,none
232058321,53.56229,6.749375,0.0,341.9,358.0,0.0,5,2026-06-04 13:00:19.000000,MSSIS,False,IMOGEN ROSE,1069596,MRIE5,0.0,0.0,2.3,BORKUMOWF,40,none
367481540,29.647951,-91.09317,0.0,60.1,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,KAREN KOBY,0,WDF7145,0.0,0.0,3.7,US0B6R0U0D,31,none
228440700,49.76145,0.377235,0.0,0.0,99.0,0.0,5,2026-06-04 13:00:19.000000,MSSIS,False,ARTEMIS,9983798,FMVC,0.0,0.0,4.4,BRSSO  FRFEC,36,none
244163821,51.821255,4.05062,0.0,276.7,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,PH4506,0.0,0.0,0.0,,36,none
367571450,29.257328,-89.36145,0.0,249.0,511.0,-731.3865,0,2026-06-04 13:00:19.000000,MSSIS,False,EVEREADY,0,WDG7850,0.0,0.0,3.0,PORT FOURCHON,60,none
367444730,29.91036,-92.57402,6.7,101.9,100.0,-720.00323,0,2026-06-04 13:00:19.000000,MSSIS,False,REPENTANCE,0,WDF3848,0.0,0.0,2.8,HOUSTON  TX,52,none
368239080,37.663376,-76.4335,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,WDM7978,0.0,0.0,0.0,,37,none
232061364,37.00178,27.255636,0.0,0.0,511.0,-731.3865,1,2026-06-04 13:00:17.000000,MSSIS,False,EIRA,0,,0.0,0.0,0.0,,0,none
271049685,37.16049,27.441032,8.0,265.7,511.0,-731.3865,0,2026-06-04 13:00:17.000000,MSSIS,False,KILIC 1,0,TCA6770,0.0,0.0,0.0,,0,none
251579240,63.71542,-23.20781,7.0,181.1,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,6417,0.0,0.0,0.0,,30,none
257010320,61.916103,5.161545,0.0,360.0,511.0,-731.3865,0,2026-06-04 13:00:17.000000,MSSIS,False,INGUN,0,LK5967,0.0,0.0,0.0,,70,none
356167000,35.88909,24.063063,12.5,286.3,284.0,0.0,0,2026-06-04 13:00:17.000000,MSSIS,False,MSC ELEONORA III,9064750,HPVY,0.0,0.0,0.0,SIKOP,71,none
244726156,51.69412,4.4410315,0.0,360.0,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,PG4434,0.0,0.0,0.0,,37,none
205421000,-4.89215,11.882,0.0,226.0,210.0,0.0,1,2026-06-04 13:00:19.000000,MSSIS,False,EXCALIBUR,9230050,ONCE,0.0,0.0,9.5,PNR FIELD,80,none
663195000,15.68819,-17.549646,9.3,232.5,231.0,-731.3865,0,2026-06-04 13:00:18.000000,MSSIS,False,XIXILI,7413828,6 W M G,0.0,0.0,7.0,FISHING GROUND,30,none
249846000,45.535587,13.653445,0.0,360.0,511.0,-731.3865,5,2026-06-04 13:00:20.000000,MSSIS,False,LA VETTA,0,9HC3178,0.0,0.0,2.4,IZOLA,37,none
228376000,47.83535,-4.1715117,0.0,353.7,511.0,-731.3865,7,2026-06-04 13:00:20.000000,MSSIS,False,FV LOKTUDI,0,FGQJ,0.0,0.0,3.2,,30,none
316003619,49.36835,-53.504868,6.5,50.3,511.0,0.0,15,2026-06-04 13:00:20.000000,MSSIS,False,,0,,0.0,0.0,0.0,,30,none
