HOLD ID,HULL ID,NO HOLDS,WIDTH,LENGTH,DEPTH,RECORD LAST UPDATED
1,101,1,,,,30/06/2009
2,24096,6,,,,30/06/2009
3,2276,2,,,,30/06/2009
4,63464,2,,,,30/06/2009
5,180,4,,,,30/06/2009
6,33134,6,,,,30/06/2009
7,3859,3,,,,30/06/2009
8,53208,3,,,,30/06/2009
9,273,5,,,,30/06/2009
10,43882,3,,,,30/06/2009
11,41069,6,,,,30/06/2009
12,15499,4,,,,30/06/2009
13,13415,4,,,,30/06/2009
14,13917,10,,,,30/06/2009
15,61409,10,,,,30/06/2009
16,2637,9,,,,30/06/2009
17,33984,9,,,,30/06/2009
18,52866,9,,,,30/06/2009
19,43980,9,,,,30/06/2009
20,14982,2,,,,30/06/2009
21,44396,1,,,,30/06/2009
22,51534,3,,,,30/06/2009
23,57124,7,,,,30/06/2009
24,48995,5,,,,30/06/2009
25,44584,1,,,,30/06/2009
