LIFTING GEAR ID,HULL ID,NO LIFTING GEAR,LIFTING GEAR TYPE,SAFE WORKING LOAD,RECORD LAST UPDATED
1,24096,12,DER,,26/06/2009
2,2276,3,DER,,26/06/2009
3,137,3,DER,,26/06/2009
4,180,3,DER,,26/06/2009
5,180,3,CRN,,26/06/2009
6,187,2,DER,,26/06/2009
7,33134,18,DER,,26/06/2009
8,3859,3,DER,,26/06/2009
9,36339,10,DER,,26/06/2009
10,53208,6,DER,3,26/06/2009
11,273,1,CRN,,26/06/2009
12,43882,12,DER,,26/06/2009
13,41069,2,DER,,26/06/2009
14,41069,5,CRN,,26/06/2009
15,15499,12,DER,,26/06/2009
16,13415,12,DER,,26/06/2009
17,13415,2,CRN,,26/06/2009
18,2637,1,CRN,,26/06/2009
19,33984,1,CRN,,26/06/2009
20,56896,1,DER,,26/06/2009
21,51534,1,DER,40,26/06/2009
22,51534,6,DER,5,26/06/2009
23,51534,6,DER,10,26/06/2009
24,57124,3,CRN,12.5,26/06/2009
25,48995,1,DER,75,26/06/2009
