VESSEL_ID,IMO,NAME,SEQ_NO,DAY_NUMBER,START_DATE,END_DATE,RISK_INDICATORS
2566,7104336,Mykonos I,1,.96,31/03/2025 01:03:16,01/04/2025 00:04:28,Compatible vessels with AIS Gap; Draught change after the loitering event
6754,7129336,Brave Knight,1,1.48,25/02/2026 13:02:44,27/02/2026 00:02:47,Compatible vessels with AIS Gap; Draught change after the loitering event
16374,7420936,Layla,1,51.47,28/04/2025 15:04:24,19/06/2025 03:06:09,Draught change after the loitering event; 
16374,7420936,Layla,2,28.92,09/11/2025 19:11:30,08/12/2025 17:12:58,Draught change after the loitering event; 
31463,7323401,Shun Tian Fa No.168,1,3.23,06/09/2025 20:09:11,10/09/2025 02:09:11,Draught change after the loitering event; 
31463,7323401,Shun Tian Fa No.168,2,9.23,14/09/2025 20:09:41,24/09/2025 02:09:07,Draught change after the loitering event; 
31463,7323401,Shun Tian Fa No.168,3,4.67,29/09/2025 15:09:28,04/10/2025 07:10:14,Draught change after the loitering event; 
31463,7323401,Shun Tian Fa No.168,4,2.34,10/10/2025 09:10:32,12/10/2025 17:10:47,Draught change after the loitering event; 
50675,7382665,Friends Rs 1,1,1.4,21/12/2024 08:12:53,22/12/2024 17:12:01,Compatible vessels with AIS Gap; Draught change after the loitering event
51675,7382495,Brothers Rs,1,26.27,03/06/2026 23:06:00,30/06/2026 05:06:11,Compatible vessels with AIS Gap; Draught change after the loitering event
55512,7116896,Eternal 1,1,5.93,08/05/2025 23:05:19,14/05/2025 21:05:05,Loitering event started in a high-risk area; Compatible vessels with AIS Gap; Draught change after the loitering event
55512,7116896,Eternal 1,2,8.15,18/03/2026 19:03:34,26/03/2026 23:03:31,Loitering event started in a high-risk area; Draught change after the loitering event
55726,7120823,Kalliopi Koumianou,1,2.47,17/09/2024 04:09:04,19/09/2024 15:09:26,Compatible vessels with AIS Gap; Draught change after the loitering event
57124,7113375,Chios,1,7.25,17/03/2025 00:03:20,24/03/2025 07:03:16,Compatible vessels with AIS Gap; Draught change after the loitering event
64755,8869397,Pur-Navolok,1,1.9,06/10/2024 04:10:16,08/10/2024 02:10:44,Loitering event started in a high-risk area; Draught change after the loitering event
73642,7366037,Ghaydaa,1,2.04,09/11/2024 23:11:20,12/11/2024 00:11:01,Compatible vessels with AIS Gap; Draught change after the loitering event
105746,7633387,Med Sea,1,12.88,28/04/2026 19:04:22,11/05/2026 16:05:04,Compatible vessels with AIS Gap; Draught change after the loitering event
107176,7635347,Alisa,1,22.27,11/10/2024 03:10:23,02/11/2024 10:11:14,Loitering event started in a high-risk area; Draught change after the loitering event; 
107176,7635347,Alisa,2,10.91,21/09/2025 05:09:33,02/10/2025 03:10:02,Loitering event started in a high-risk area; Draught change after the loitering event; 
107237,7615012,Armony,1,2.15,08/11/2024 15:11:22,10/11/2024 18:11:50,Compatible vessels with AIS Gap; Draught change after the loitering event
112043,7724019,Sky Light,1,5.62,19/07/2025 23:07:01,25/07/2025 14:07:50,Compatible vessels with AIS Gap; Draught change after the loitering event
112334,7616860,Rhino,1,1.37,26/11/2024 07:11:28,27/11/2024 16:11:45,Compatible vessels with AIS Gap; Draught change after the loitering event
112514,7638507,Natiatea,1,10.15,14/09/2024 21:09:48,25/09/2024 01:09:10,Draught change after the loitering event; 
112514,7638507,Natiatea,2,9.73,15/09/2024 08:09:00,25/09/2024 01:09:10,Draught change after the loitering event; 
112514,7638507,Natiatea,3,10.12,11/10/2024 12:10:09,21/10/2024 15:10:32,Draught change after the loitering event; 
