VESSEL ID,RELATIONSHIP TYPE,COMPANY ID,COMPANY NAME,START DATE,START QUALIFIER
6,Beneficial Owner,68958,Sociedad Anonima Trabajos y Obras (S.A.T.O.),08/09/2016,B
6,Commercial Operator,68958,Sociedad Anonima Trabajos y Obras (S.A.T.O.),08/09/2016,B
6,Registered Owner,68958,Sociedad Anonima Trabajos y Obras (S.A.T.O.),08/09/2016,B
6,Technical Manager,68958,Sociedad Anonima Trabajos y Obras (S.A.T.O.),08/09/2016,B
33,Beneficial Owner,261172,Sadax Services Limited,01/08/2008,
33,Commercial Operator,261172,Sadax Services Limited,01/08/2008,
33,Registered Owner,261172,Sadax Services Limited,01/08/2008,
33,Technical Manager,261172,Sadax Services Limited,01/08/2008,
36,Beneficial Owner,67921,Societe de Peche et d'Industrie de Dakar,01/01/1975,A
36,Commercial Operator,67921,Societe de Peche et d'Industrie de Dakar,01/01/1975,A
36,Registered Owner,67921,Societe de Peche et d'Industrie de Dakar,01/01/1975,A
36,Technical Manager,67921,Societe de Peche et d'Industrie de Dakar,01/01/1975,A
61,Beneficial Owner,16340,Mohamed Abdelrahman Tabalo,31/08/1991,B
61,Commercial Operator,16340,Mohamed Abdelrahman Tabalo,31/08/1991,B
61,Registered Owner,44064,Abdullah Tabalo,31/08/1991,B
61,Technical Manager,16340,Mohamed Abdelrahman Tabalo,31/08/1991,B
100,Beneficial Owner,212646,Unknown Owners,24/04/2001,
100,Commercial Operator,212646,Unknown Owners,24/04/2001,
100,Registered Owner,212646,Unknown Owners,24/04/2001,
100,Technical Manager,212646,Unknown Owners,24/04/2001,
154,Beneficial Owner,100428,Rafael Gonzalez,25/04/1998,
154,Commercial Operator,100428,Rafael Gonzalez,25/04/1998,
154,Registered Owner,100428,Rafael Gonzalez,25/04/1998,
154,Technical Manager,100428,Rafael Gonzalez,25/04/1998,
173,Beneficial Owner,47476,Redffern Automotive Limited,01/01/1991,A
