PROPULSION ID,VESSEL ID,CATEGORY,PROPULSION TYPE,PROPELLER MATERIAL,EQUIPMENT COUNT,MANUFACTURER ID
9062,170634,PROPELLER,Controllable Pitch,UNKNOWN,1,517908
8873,155255,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
10057,246253,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
9808,235762,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
8863,154656,PROPELLER,Controllable Pitch,UNKNOWN,2,517908
9604,224155,PROPELLER,Controllable Pitch,Bronze,1,223932
9167,175703,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
10056,246224,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
9855,240043,PROPELLER,Fixed Pitch,BRONZE,2,517908
9105,172056,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
2891,113117,PROPELLER,Controllable Pitch,UNKNOWN,2,517908
8818,151513,PROPELLER,Controllable Pitch,BRONZE,2,517908
9824,236675,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
8897,156455,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
8666,136660,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
9580,223,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
9771,234305,PROPELLER,Controllable Pitch,BRONZE,1,530900
17329,42145,PROPELLER,Controllable Pitch,STAINLESS STEEL,2,517908
8126,130043,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
9138,173302,PROPELLER,Fixed Pitch,BRONZE,1,517908
8751,145331,PROPELLER,Fixed Pitch,UNKNOWN,1,517908
10898,277144,PROPELLER,Fixed Pitch,Bronze,1,517357
9900,242216,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
8411,133007,PROPELLER,Fixed Pitch,UNKNOWN,2,517908
9899,242204,PROPELLER,Fixed Pitch,BRONZE,2,517908
