DEFICIENCY ID,PSC ID,DEFICIENCY,CAUSE OF DETENTION,NO OCCURRENCES,RECORD LAST UPDATED
956587,1414579,"Other (propulsion & auxiliary machinery), other (safety in general), magnetic compass,
other (load lines), charts, echosounder, other (navigation), radio log (diary),",,,24-AUG-18

956588,1414579,"retention of oil on board, 15ppm alarm arrangements, abandon ship drills, fire control plan,
operation of machinery, gyro compass, inflatable liferafts, oil pollution prevention (IOPP),",,,24-AUG-18

956589,1414579,"sanitary facilities, cleanliness of engine-room, lifeboats, electric equipment in general,
2-way radiotelephone apparatus for survival craft, training/instruction manual,",,,24-AUG-18

956590,1414579,"record of inspections/maintenance, detection. firefighting equipment, other (accident prevention), medical equipment, fixed fire extinguishing installation, ballast fuel and other tanks,",,,24-AUG-18
956591,1414579,"pipes wires (insulation) - accident prevention,  protection machines/parts, fire-dampers remote control etc, pumps, appliances (general equipment), emergency lighting etc.",,,24-AUG-18
956592,1414841,Cargo ship safety radio.,,,24-AUG-18
956593,1440754,Pumps.,,,24-AUG-18
956594,1414932,Distress flares.,,,24-AUG-18
956595,1414416,Auxiliary engines.,,,24-AUG-18
956596,1414813,"Firefighting equipment, 15ppm alarm arrangements, other (Annex I), oily-water separating equipment, freeboard marks, electric equipment in general, personal equipment - accident prevention,
",,,24-AUG-18

956597,1414813,fire-dampers remote control etc.,,,24-AUG-18
956598,1414895,Satellite Epirb not provided.,,,24-AUG-18
956599,1440691,Rescue boats (engine of rescue boat did not start),,,24-AUG-18
956600,1414859,Load lines covers (hatchway tarpaulins),,,24-AUG-18
956601,1414866,Radio - reserve source of energy.,,,24-AUG-18
956602,1414865,"Load lines - bulwark torn and heavily corroded,",,,24-AUG-18
956603,1414865,"rudder angle indicator,",,,24-AUG-18
956604,1414865,revolution counter.,,,24-AUG-18
956605,1414798,Cargo ship safety radio certificate not on board.,,,24-AUG-18
956606,1415204,Marine pollution - Annex I (unauthorised discharge by-pass fitted from bilge to overboard.),,,24-AUG-18
956607,1414867,"Cargo ship safety equipment,",,,24-AUG-18
