VESSEL ID,PSC ID,EVENT TYPE,INSPECTION PLACE,INITIAL DATE,INITIAL DATE QUALIFIER,FINAL DATE,FINAL DATE QUALIFIER,DETENTION IND,INSPECTION PRECIS,MOU ID,MSO OFFICE,RECORD LAST UPDATED
13448450,1,PSC,Quintero,06/05/2026,,,,N,,V,,07/05/2026
13728635,2,PSC,Acajutla,06/05/2026,,,,N,,V,,07/05/2026
668905,3,PSC,Callao,05/05/2026,,,,N,,V,,03/07/2026
1863399,4,PSC,Campana,05/05/2026,,,,N,,V,,07/05/2026
369948,5,PSC,Chancay,04/05/2026,,,,N,,V,,03/07/2026
12587699,6,PSC,Campana,05/05/2026,,,,N,,V,,07/05/2026
13627279,7,PSC,Colon(PAN),06/05/2026,,,,N,,V,,07/05/2026
10997794,8,PSC,Callao,06/05/2026,,,,N,,V,,03/07/2026
11628168,9,PSC,Callao,06/05/2026,,,,N,,V,,03/07/2026
14222927,10,PSC,Cartagena(COL),06/05/2026,,,,N,,V,,07/05/2026
646535,11,PSC,Cartagena(COL),06/05/2026,,,,N,,V,,07/05/2026
755542,12,PSC,Puerto Cabello,06/05/2026,,,,N,,V,,07/05/2026
365600,13,PSC,Calbuco,05/05/2026,,,,N,,V,,03/07/2026
278779,14,PSC,Iquique,06/05/2026,,,,N,,V,,03/07/2026
256220,1409155,ARR,Galatz,03/03/1994,B,,,Y,Arrested at Galatz prev 03 Mar 1994 in respect of repudiation of bareboat charter by Petromin Shipping Co. Reported 06 Sep 1996 passed into ownership of shipyard. Situation unchanged 24 Mar 1998. Released prev 29 Sep 1999.,O,,23/11/2006
122644,1409156,ARR,Eleusis,04/06/1997,B,,,Y,Reported 04 Jun 1997 under arrest at Eleusis. Still under arrest 11 Feb 2000. Set up for auction 01 Mar.,O,,23/11/2006
226430,1409157,ARR,Constantza,30/07/1999,B,,,Y,Reported 30 Jul 1999 under arrest at Constantza. Sold 12 Nov. Now laid-up.,O,,23/11/2006
167636,1409158,ARR,Midia,31/12/1993,Y,,B,Y,Detained at Midia by Constantza Port Administration in 1993 due unpaid port dues. Reported 11 Apr 1996 under arrest on behalf of Tulcea shipyard due owners' unpaid debts. Sailed 01 Mar.,O,,23/11/2006
214311,1409159,ARR,Midia,31/12/1993,Y,,,Y,Arrested due alleged unpaid port expenses to Constantza Port Administration. Had fire 12 Mar 1995. Owners unable to repair due debts. Still under arrest 09 Jun 2003.,O,,23/11/2006
110357,1409160,ARR,Greece,14/06/1996,B,,B,Y,Reported 14 Jun 1996 due to be sold by public auction in Greece. Initial attempts to auction unsuccessful. Repeat auction scheduled for 05 May 1997. Still under arrest 16 Apr 1998.,O,,23/11/2006
126260,1409161,ARR,Greece,22/04/1996,B,,B,Y,Seized by Commercial Bank of Greece prev 22 Apr 1996 as security due outstanding mortgage payments. Sold at auction 26 Jul and released.,O,,23/11/2006
242131,1409162,ARR,Guam,23/11/1992,,,,Y,"Broke moorings, struck pier & grounded at Apra harbour, Guam, 23 Nov 1992 during typhoon 'Gay'. Water ingress in engine-room. Refloated Nov 26. Repairs effected. Detained by shipyard for money owed for repairs. Sailed 10 Nov 2003.",O,,23/11/2006
10017,1409163,PSC,Algeciras,20/06/1997,,,B,Y,Detained at Algeciras 20 Jun 1997 by authorities due hull damage.,O,,23/11/2006
10552,1409164,ARR,Leghorn,08/11/1998,,,B,Y,Reported under arrest at Leghorn 08 Nov 1998. Released and sailed prev 31 Jan 1999.,O,,23/11/2006
36540,1409165,ARR,Piraeus,13/04/1997,,,B,Y,Had fire on board at Piraeus 13 Apr 1997. Fire brought under control same day. Developed list due flooding. Reported 24 Apr to have been abandoned by owners. Still lying abandoned and under arrest. Still under arrest as of 05 Nov 2002.,O,,23/11/2006
