VESSEL ID,NAME ID,NAME,CURRENT IND,START DATE,START QUALIFIER,END DATE,END QUALIFIER,RECORD LAST UPDATED
2,137910,20-Thong-7,Y,19/04/1980,,,,23/12/1993
4,66883,A.M.Vella,Y,01/01/1987,A,,,21/06/2013
4,1,A.D.Geopotes I,,28/04/1975,,12/04/1977,,21/06/2013
6,66865,A.Gaudi,Y,22/03/1981,,,,06/10/1992
7,66876,A.Held,Y,22/10/1975,,,,06/10/1992
10,71365,Arrow Niki,Y,19/12/1989,,,,21/06/2013
10,8,Thalassini Niki,,08/08/1987,,27/11/1989,,21/06/2013
10,6,Friendly Carrier,,29/03/1986,,24/07/1987,,31/07/1990
10,5,Silverland,,13/03/1975,,14/03/1986,,18/07/1990
10,4,A.K.Fernstrom,,12/11/1974,,06/03/1975,,28/06/1990
11,66881,A.King I,Y,26/10/1980,,,,21/06/2013
11,9,King I,,01/01/1974,A,25/10/1980,B,21/06/2013
11,10,Cimbria,,01/01/1951,A,31/12/1973,B,03/02/1992
12,68122,Al Muwaffaq,Y,08/05/1977,,,,21/06/2013
12,11,A.King II,,14/10/1975,,08/04/1977,,21/06/2013
13,101362,Millgrader,Y,31/10/1977,A,,,19/06/2015
13,14,Klydon,,01/11/1976,,30/10/1977,,21/06/2013
13,13,A.King III,,02/11/1975,,01/11/1976,,04/01/1990
13,12,Lady Sarita,,01/01/1965,A,01/11/1975,B,28/02/1992
14,66885,A.N.Kemp,Y,12/09/1975,,,,06/10/1992
16,86077,George Z.,Y,29/12/1982,,,,21/06/2013
16,17,Loreto,,04/05/1981,,24/11/1982,,21/06/2013
16,16,Strofades,,16/11/1980,,20/04/1981,,12/07/1990
16,15,A.P.Moller,,10/05/1975,,30/10/1980,,11/07/1990
17,82838,Erik Boye,Y,09/01/1977,,,,21/06/2013
