CLASS SOCIETY,CLASS SOCIETY DECODE
??,Unknown
AB,American Bureau
AC,ASIA Classification Society
AF,Alfa Register of Shipping
AL,Register Of Shipping (Albania)
BB,Black Sea Bureau of Shipping
BC,British Corporation
BE,Belize Maritime Bureau
BK,Bulgarski Koraben Registar
BR,Sociedada Classif. Brasileria/Nav. (Braz
BS,Bureau Securitas (Brazil)
BV,Bureau Veritas
BZ,Belize Register Corporation
CA,Cambodia Ship Registry
CC,Maritime Authority of Curacao (MAC)
CL,Ceskoslovensky Lodin Register (Czechosl.
CM,Cosmos Bureau of Shipping
CN,"Compania Nacional de Registro e Inspeccion de Naves, S. de R.L."
CO,Sociedad Classificadora De Colombia
CR,China Corporation of Shipping
CS,China Classification
CT,"C.T.M. Inspection and Classification Company, S. de R.L."
CU,Registro Cubano de Buques
CY,Cyprus Bureau Of Shipping (Cyprus)
DB,Dromon Bureau of Shipping
