COUNTRY/FLAG CODE,COUNTRY/FLAG SHORT NAME,COUNTRY/FLAG FULL NAME
ABW,Aruba,Aruba
AFG,Afghanistan,Afghanistan
AGO,Angola,Angola
AIA,Anguilla,Anguilla
ALB,Albania,Albania
ALD,Aland,Aland Islands
AND,Andorra,Andorra
ANT,Netherlands Antilles,Netherlands Antilles
ARE,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina
ARM,Armenia,Republic of Armenia
ASM,"Samoa, American",American Samoa
ATA,Antarctica,Antarctica
ATF,French Southern Territories,French Southern Territories
ATG,Antigua & Barbuda,Antigua & Barbuda
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Republic of Azerbaijan
AZO,Azores,Azores
BDI,Burundi,Burundi
BEL,Belgium,Belgium
BEN,Benin,Republic of Benin
BES,"Bonaire, St. Eustatius, Saba","Bonaire, St. Eustatius and Saba"
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
